name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"App\Handler\GetOutstandingWebhooks",8,6,20.68,1.5,31.02,0.67,0.01,2,13.79,2,6,2,4,1,1,0.15,67.11,67.11,0,N/A,N/A,2,9,0.5,9.5,18,1,19,0,12,12,N/A,2,2,0,2,0,0,0,4,1,N/A,0.02
"App\Handler\CallOutstandingWebhooks",18,9,57.06,2.29,130.42,0.44,0.02,7,24.96,2,16,2,7,1,1,0.15,84.81,60.73,24.09,N/A,N/A,2,49,0.33,49.33,147,1,148,2,19,17,N/A,3,3,1,2,0,0,0,8,1,N/A,0.02
"App\Handler\CallCustomerWebhooks",58,27,275.78,8.21,2264.33,0.12,0.09,126,33.59,19,39,8,19,6,4,0.52,48.16,48.16,0,N/A,N/A,2,49,0.5,49.5,147,1.5,148.5,0,36,36,N/A,3,3,1,2,0,0,0,5,1,N/A,0.02
"App\Query\OutstandingWebhooks",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,171,171,0,N/A,N/A,2,0,1,1,0,2,2,0,12,12,N/A,2,2,1,1,0,0,2,2,0.5,N/A,0.04
"App\Result\OutstandingWebhooksCalled",1,1,0,0,0,2,0,0,0,0,1,0,1,1,1,0.15,171,171,0,N/A,N/A,1,0,1,1,0,1,1,0,8,8,N/A,1,1,0,1,0,0,3,2,0.4,N/A,0.06
"App\Result\OutstandingWebhooks",1,1,0,0,0,2,0,0,0,0,1,0,1,1,1,0.15,171,171,0,N/A,N/A,1,0,1,1,0,1,1,0,8,8,N/A,1,1,0,1,0,0,1,3,0.75,N/A,0.04
"App\Traits\WithCorrelation",11,5,25.54,2.33,59.6,0.43,0.01,3,10.95,4,7,2,3,1,1,0.15,64.36,64.36,0,N/A,N/A,1,0,2.5,2.5,0,5,5,0,15,15,N/A,2,1,0,1,1,0,0,1,1,N/A,0.02
"App\Command\CallWebhooks",1,1,0,0,0,2,0,0,0,0,1,0,1,1,1,0.15,171,171,0,N/A,N/A,1,0,1,1,0,1,1,0,8,8,N/A,1,1,0,1,0,0,2,3,0.6,N/A,0.04
"App\Command\CallOutstandingWebhooks",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,171,171,0,N/A,N/A,2,0,1,1,0,2,2,0,12,12,N/A,2,2,1,1,0,0,2,2,0.5,N/A,0.05
"Api\Console\InputCommandFactory",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,1,0,0,2,3,0.6,N/A,0.04
"Api\Console\Action\CallOutstandingWebhooks",18,11,62.27,1.78,110.7,0.56,0.02,6,35.03,2,16,2,9,1,1,0.15,81.77,62.3,19.47,N/A,N/A,2,16,0.7,16.7,32,1.4,33.4,1,15,14,N/A,2,2,1,1,0,0,0,6,1,N/A,0.02
"Api\Console\Action\CallOutstandingWebhooks\CallOutstandingWebhooksFactory",10,6,25.85,1.75,45.24,0.57,0.01,3,14.77,3,7,2,4,1,1,0.15,68.16,68.16,0,N/A,N/A,1,16,0.6,16.6,16,0.6,16.6,0,10,10,N/A,1,1,0,1,0,0,0,6,1,N/A,0.02
"Api\Console\Action\CallOutstandingWebhooks\OutstandingWebhooksResultFormatter",23,12,82.45,1,82.45,1,0.03,5,82.45,1,22,1,11,3,3,0.38,77.19,59.34,17.85,N/A,N/A,1,16,0.5,16.5,32,1,33,1,18,17,N/A,2,2,1,1,0,0,0,5,1,N/A,0.02
"Api\Console\Kernel",3,3,4.75,0.5,2.38,2,0,0,9.51,1,2,1,2,1,1,0.15,109.28,74.31,34.97,N/A,N/A,1,0,1,1,0,1,1,3,12,9,N/A,1,1,0,1,0,0,0,1,1,N/A,0.02
"Api\Console\ResultOutputFormatter",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,1,0,0,2,2,0.5,N/A,0.04
"Infra\WebhookCollection",2,2,2,0,0,2,0,0,4,0,2,0,2,1,1,0.15,75.04,75.04,0,N/A,N/A,2,0,0.5,0.5,0,1,1,0,11,11,N/A,2,2,0,2,0,0,1,2,0.67,N/A,0.03
"Infra\Repository\WebhooksFile",26,13,96.21,2.09,201.17,0.48,0.03,11,46.01,3,23,2,11,3,2,0.61,53.49,53.49,0,N/A,N/A,2,49,0.18,49.18,245,0.88,245.88,0,30,30,N/A,5,5,3,2,0,0,0,6,1,N/A,0.02
"TicketTailor\TechnicalTest\CustomerNotifications\NotificationsRepository",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,1,0,0,2,1,0.33,N/A,0.07
"TicketTailor\TechnicalTest\CustomerNotifications",3,3,4.75,0.5,2.38,2,0,0,9.51,1,2,1,2,1,1,0.15,72.41,72.41,0,N/A,N/A,2,1,0.75,1.75,2,1.5,3.5,0,11,11,N/A,2,2,0,2,0,0,1,2,0.67,N/A,0.03
"TicketTailor\TechnicalTest\Webhooks",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,1,0,0,5,0,0,N/A,0.35
